team_a,team_b,mean_diff_team_a,count
Argentina,Poland,0.6666666666666666,12
Argentina,Portugal,0.75,8
Argentina,Puerto Rico,6.0,1
Argentina,Qatar,2.5,2
Argentina,Republic of Ireland,1.0,5
Argentina,Romania,0.5,6
Argentina,Russia,0.23076923076923078,13
Argentina,Saudi Arabia,0.6,5
Argentina,Scotland,0.5,4
Argentina,Serbia,2.0,4
Argentina,Singapore,6.0,1
Argentina,Slovenia,2.0,1
Argentina,South Africa,0.3333333333333333,3
Argentina,South Korea,2.0,3
Argentina,Spain,-0.07142857142857142,14
Argentina,Sweden,0.0,3
Argentina,Switzerland,1.7142857142857142,7
Argentina,Trinidad and Tobago,3.0,1
Argentina,Tunisia,1.0,1
Argentina,United Arab Emirates,5.0,1
Argentina,United States,2.272727272727273,11
Argentina,Uruguay,0.43169398907103823,183
Argentina,Venezuela,2.533333333333333,30
Argentina,Wales,0.5,2
Argentina,Yugoslavia,-0.16666666666666666,6
Argentina,Zambia,5.0,1
Armenia,Belarus,-0.4444444444444444,9
Armenia,Belgium,-1.5,6
Armenia,Bosnia and Herzegovina,-1.0,4
Armenia,Bulgaria,0.0,2
Armenia,Canada,2.0,1
Armenia,Chile,-7.0,1
Armenia,Croatia,-0.6666666666666666,3
Armenia,Cyprus,-0.8571428571428571,7
Armenia,Czech Republic,-2.0,6
Armenia,Denmark,-0.75,8
Armenia,Ecuador,-3.0,1
Armenia,El Salvador,4.0,1
Armenia,Estonia,0.0,7
Armenia,Faroe Islands,-0.5,2
Armenia,Finland,-1.6666666666666667,6
Armenia,France,-2.4,5
Armenia,Georgia,-1.5555555555555556,9
Armenia,Germany,-4.4,5
Armenia,Gibraltar,1.5,2
Armenia,Greece,-0.6666666666666666,6
Armenia,Guatemala,3.0,2
Armenia,Hungary,-1.6666666666666667,3
Armenia,Iceland,-0.4,5
Armenia,Iran,-2.0,1
Armenia,Israel,-2.0,1
Armenia,Italy,-3.0,4
Armenia,Jordan,0.0,1
Armenia,Kazakhstan,0.7777777777777778,9
Armenia,Kosovo,-1.3333333333333333,3
Armenia,Kuwait,-2.0,1
Armenia,Latvia,0.16666666666666666,6
Armenia,Lebanon,1.0,1
Armenia,Liechtenstein,0.8333333333333334,6
Armenia,Lithuania,-0.6666666666666666,3
Armenia,Luxembourg,0.0,1
Armenia,Malta,0.5,6
Armenia,Moldova,-0.3333333333333333,6
Armenia,Montenegro,-0.25,4
Armenia,Morocco,-6.0,1
Armenia,Netherlands,-1.5,2
Armenia,North Macedonia,-0.6,15
Armenia,Northern Ireland,0.5,4
Armenia,Norway,-4.0,3
Armenia,Panama,0.0,1
Armenia,Paraguay,-0.5,2
Armenia,Peru,-4.0,1
Armenia,Poland,-1.5714285714285714,7
Armenia,Portugal,-2.25,8
Armenia,Republic of Ireland,-0.3333333333333333,6
Armenia,Romania,-1.5714285714285714,7
Armenia,Russia,-1.8,5
Armenia,Saint Kitts and Nevis,5.0,1
Armenia,Scotland,-2.5,2
Armenia,Serbia,-1.4,5
Armenia,Slovakia,3.0,2
Armenia,Slovenia,-1.0,1
Armenia,Spain,-2.5,6
Armenia,Sweden,-2.0,1
Armenia,Turkey,-1.25,4
Armenia,Turkmenistan,1.0,1
Armenia,Ukraine,-1.7,10
Armenia,United Arab Emirates,1.0,1
Armenia,United States,-1.0,1
Armenia,Uzbekistan,2.0,2
Armenia,Wales,0.5,4
Artsakh,Chameria,-3.0,1
Artsakh,County of Nice,-1.0,1
Artsakh,Darfur,12.0,1
Artsakh,Ellan Vannin,-1.0,1
Artsakh,Padania,2.0,1
Artsakh,Székely Land,1.0,1
Artsakh,Sápmi,2.5,2
Aruba,Barbados,-0.75,8
Aruba,Bermuda,-1.5,2
Aruba,Bonaire,-0.3333333333333333,3
Aruba,British Virgin Islands,7.0,1
Aruba,Cambodia,1.0,1
Aruba,Canada,-7.0,1
Aruba,Cayman Islands,2.3333333333333335,3
Aruba,Costa Rica,-1.0,1
Aruba,Cuba,3.0,1
Aruba,Curaçao,-1.2244897959183674,49
Aruba,Dominica,-1.0,1
Aruba,Dominican Republic,-1.25,4
Aruba,El Salvador,-2.0,1
Aruba,French Guiana,-1.75,4
Aruba,Grenada,-1.3333333333333333,3
Aruba,Guadeloupe,0.0,1
Aruba,Guam,1.0,2
Aruba,Guyana,-2.0,3
Aruba,Haiti,-2.25,4
Aruba,Honduras,0.0,1
Aruba,Jamaica,-4.666666666666667,3
Aruba,Liechtenstein,3.0,1
Aruba,Macau,3.0,1
Aruba,Montserrat,-2.0,1
Aruba,Netherlands,0.0,1
Aruba,Panama,0.0,1
Aruba,Puerto Rico,-0.75,4
Aruba,Saint Kitts and Nevis,-2.0,4
Aruba,Saint Lucia,-0.25,4
Aruba,Saint Martin,1.5,2
Aruba,Saint Vincent and the Grenadines,-0.5,2
Aruba,Sint Maarten,-1.5,2
Aruba,Suriname,-1.0,19
Aruba,Trinidad and Tobago,-9.0,2
Aruba,Turks and Caicos Islands,1.0,1
Aruba,United States Virgin Islands,2.5,2
Aruba,Venezuela,-2.5,2
Asturias,Galicia,2.0,1
Australia,Bahrain,1.125,8
Australia,Bangladesh,4.5,4
Australia,Belgium,-2.0,1
Australia,Brazil,-2.5,8
Australia,Bulgaria,-1.0,4
Australia,Cambodia,0.0,1
Australia,Cameroon,0.5,2
Australia,Canada,0.5,10
Australia,Chile,-0.8,5
Australia,China,0.9285714285714286,14
Australia,Colombia,-1.25,4
Australia,Cook Islands,16.5,2
Australia,Costa Rica,1.0,1
Australia,Croatia,-0.8333333333333334,6
Australia,Curaçao,4.0,1
Australia,Czech Republic,1.0,2
Australia,Czechoslovakia,-2.0,8
Australia,Denmark,-0.4,5
Australia,Ecuador,0.0,3
Australia,Egypt,-1.0,3
Australia,England,-0.375,8
Australia,Fiji,3.5555555555555554,9
Australia,France,-1.6666666666666667,6
Australia,German DR,-2.0,1
Australia,Germany,-1.3333333333333333,6
Australia,Ghana,0.5714285714285714,7
Australia,Greece,-0.14285714285714285,7
Australia,Guam,9.0,1
Australia,Honduras,1.0,2
Australia,Hong Kong,1.0,8
Australia,Hungary,2.0,3
Australia,India,0.25,8
Australia,Indonesia,1.8823529411764706,17
Australia,Iran,0.0,7
Australia,Iraq,0.5454545454545454,11
Australia,Israel,-0.07142857142857142,14
Australia,Italy,-1.0,1
Australia,Jamaica,3.0,2
Australia,Japan,-0.2857142857142857,28
Australia,Jordan,0.875,8
Australia,Kenya,4.0,1
Australia,Kuwait,0.7142857142857143,14
Australia,Kyrgyzstan,2.0,2
Australia,Lebanon,3.25,4
Australia,Liechtenstein,2.0,1
Australia,Macau,9.0,1
Australia,Malaysia,2.3333333333333335,6
Australia,Mexico,0.5,6
Australia,Morocco,1.0,1
Australia,Nepal,4.0,2
Australia,Netherlands,0.0,4
Australia,New Caledonia,5.5,4
Australia,New Zealand,1.3582089552238805,67
Australia,Nigeria,1.0,1
Australia,North Korea,-2.3333333333333335,3
Australia,North Macedonia,0.5,2
Australia,Northern Ireland,-0.5,2
Australia,Norway,-0.6666666666666666,3
Australia,Oman,1.3636363636363635,11
